"cole_depto_ubicacion","fami_estratovivienda","fami_personashogar","fami_tieneautomovil","fami_tienecomputador","fami_tieneinternet","fami_tienelavadora","punt_global"
"ANTIOQUIA","Estrato 2","3 a 4","Si","Si","Si","Si","238"
"NARIÑO","Estrato 2","5 a 6","No","No","Si","No","210"
"BOGOTÁ","Estrato 6","5 a 6","Si","Si","Si","Si","335"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","368"
"BOGOTÁ","Estrato 4","3 a 4","Si","Si","Si","Si","343"
"VALLE","Estrato 5","5 a 6","Si","Si","Si","Si","247"
"SANTANDER","Estrato 3","3 a 4","Si","Si","Si","Si","279"
"NORTE SANTANDER","Estrato 1","3 a 4","No","No","No","No","180"
"BOGOTÁ","Estrato 6","1 a 2","Si","Si","Si","No","182"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","394"
"VALLE","Estrato 4","7 a 8","Si","Si","Si","Si","270"
"CAUCA","Estrato 1","3 a 4","No","Si","Si","Si","260"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","325"
"ATLANTICO","Estrato 6","5 a 6","Si","Si","Si","Si","319"
"VALLE","Estrato 2","3 a 4","No","Si","Si","Si","270"
"VALLE","Estrato 6","3 a 4","Si","Si","Si","Si","333"
"VALLE","Estrato 3","3 a 4","No","Si","Si","No","318"
"VALLE","Estrato 2","3 a 4","No","Si","Si","Si","263"
"VALLE","Estrato 3","9 o más","Si","Si","Si","Si","300"
"MAGDALENA","Estrato 6","3 a 4","Si","Si","Si","Si","322"
"GUAINIA","Estrato 1","3 a 4","No","No","No","No","286"
"VALLE","Estrato 3","3 a 4","No","Si","Si","Si","324"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","318"
"ANTIOQUIA","Estrato 6","3 a 4","Si","Si","Si","Si","358"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","351"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","269"
"VALLE","Estrato 6","5 a 6","Si","Si","Si","Si","330"
"VALLE","Estrato 5","5 a 6","Si","Si","Si","Si","254"
"ATLANTICO","Estrato 5","3 a 4","Si","Si","Si","Si","313"
"VALLE","Estrato 3","3 a 4","No","No","Si","No","299"
"VALLE","Estrato 5","1 a 2","Si","Si","Si","Si","283"
"VALLE","Estrato 6","5 a 6","Si","Si","Si","Si","329"
